repository_relative_path,onedrive_folder,size_bytes,sha256,upload_required,priority,public_release_note,upload_priority,priority_reason,onedrive_target_relative_path,source_exists,git_tracked,link_from_publication_page,required_before_submission
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,01_original_videos/,438708285,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,01_original_videos/,340344466,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,01_original_videos/,693257629,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,01_original_videos/,94376249,b1a1b91751560b16661362816fba5733d358508382dcf379e0be3097644b5411,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,01_original_videos/,708631365,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_00-08-29.mp4,01_original_videos/,477705592,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_00-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_01-08-29.mp4,01_original_videos/,594203496,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_01-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_02-08-32.mp4,01_original_videos/,662371618,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_02-08-32.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_03-08-30.mp4,01_original_videos/,663376491,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_03-08-30.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_04-08-30.mp4,01_original_videos/,684161572,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_04-08-30.mp4,true,false,false,false
