scenario,T,O,B,S,D,scene,method,candidate_id,trial_index,params_json,score,rank,is_top_ranked,selected_untargeted,selected_hg_expected_aware
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_001,1,"{""min_cluster_size"": 80, ""min_samples"": 10}",0.6131259878641706,1,True,True,True
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_002,2,"{""min_cluster_size"": 80, ""min_samples"": 20}",0.5504040417411744,4,False,False,False
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_003,3,"{""min_cluster_size"": 160, ""min_samples"": 10}",0.5524101672141818,2,False,False,False
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_004,4,"{""min_cluster_size"": 160, ""min_samples"": 20}",0.5504040417411744,3,False,False,False
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_005,5,"{""min_cluster_size"": 320, ""min_samples"": 10}",0.15000000000000002,5,False,False,False
original,0.5,0.2,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_006,6,"{""min_cluster_size"": 320, ""min_samples"": 20}",0.15000000000000002,6,False,False,False
reviewer_example,0.4,0.3,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_001,1,"{""min_cluster_size"": 80, ""min_samples"": 10}",0.6724950730376722,1,True,True,True
reviewer_example,0.4,0.3,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_002,2,"{""min_cluster_size"": 80, ""min_samples"": 20}",0.6192999407948021,4,False,False,False
reviewer_example,0.4,0.3,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_003,3,"{""min_cluster_size"": 160, ""min_samples"": 10}",0.6224101672141819,2,False,False,False
reviewer_example,0.4,0.3,0.1,0.1,0.1,bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_004,4,"{""min_cluster_size"": 160, ""min_samples"": 20}",0.6192999407948021,3,False,False,False
