reviewer_topic,response_status,short_response,what_changed,evidence,result_or_caveat,manuscript_section_placeholder
Novelty,Partially addressed,"We narrowed the novelty claim to the complete HG-SMG-TC workflow rather than endpoint discovery or trajectory graphs alone.","Reframed contribution around endpoint micro-modes, SAC, SMG, UATP, PCMS and leakage-locked evaluation.","docs/literature_register_hg_smg.md; docs/final_claim_audit.md","Constituent ideas have prior art; novelty is the integrated preregistered framework.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Target leakage,Addressed,"The revised workflow separates target-estimation, model-selection and independent-test stages.","Added explicit split protocol and persisted-assignment-before-reference-evaluation statement.","docs/final_statistical_analysis.md; independent-test manifests","No new tuning occurs after independent-test results.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Independent reference labels,Addressed with terminology,"The reference is exhaustive and independent of clustering outputs, but not fully manual per-trajectory ground truth.","Replaced ground-truth wording with human-defined polygon-rule-based reference labels.","docs/polygon_reference_scientific_positioning.md","Reference shares endpoint information with the maneuver-identification problem.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Target-estimator reproducibility,Addressed,"The target estimator is formalized and exactly reproduced from frozen target-estimation data.","Added equations, frozen parameters and target reproduction result.","docs/hg_target_estimator_scientific_interpretation.md","K_HG can count geometric endpoint submodes, not always semantic movements.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
EMAS formula,Addressed,"All EMAS_HG-v1 components, transformations and edge cases are now explicit.","Added mathematical definition and component table.","docs/emas_hg_mathematical_definition.md","EMAS_HG is diagnostic, not independent validation.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
EMAS weights,Addressed,"Weight sensitivity was evaluated without retuning.","Added local, global and reviewer-example sensitivity summary.","docs/emas_weight_sensitivity_scientific_interpretation.md","Reviewer-example weights preserve 14/15 top candidates; not invariant globally.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Homography calibration,Addressed,"Homography implementation, RANSAC settings, residuals, quality gate and sensitivity are documented.","Added calibration and quality subsection.","docs/homography_scientific_interpretation.md","All scenes pass diagnostic gate, but extrapolation remains high.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Baseline weakness,Addressed,"Simple endpoint and resampled trajectory baselines were added.","Added baseline method and result discussion.","docs/baseline_scientific_interpretation.md; results/final_synthesis/final_method_comparison.csv","Endpoint KMeans is strong; no universal-superiority claim is made.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Statistical dependence,Addressed,"The scene is treated as the primary experimental unit.","Added scene-level paired analysis and removed strong p-value framing.","docs/final_statistical_analysis.md","n=5 scenes supports descriptive rather than strong inferential claims.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Trade-off interpretation,Addressed,"Results are now framed as target-alignment and reference-metric trade-offs.","Added explicit A1 vs A5 trade-off language.","docs/final_scientific_interpretation.md","A5 improves target error and NMI slightly but not macro F1 or outliers.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
SE38th failure,Addressed,"SE38th is presented as the main semantic over-segmentation failure and motivation for HG-SMG.","Added failure and mitigation discussion.","docs/se38th_target_failure_analysis.md; docs/final_scientific_interpretation.md","HG-SMG mitigates but does not post hoc correct frozen targets.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Data/code availability,Addressed,"A reproducibility and public-release plan was added.","Added data/code availability and final checklist.","docs/public_release_final_checklist.md","Raw video and third-party imagery redistribution require manual license review.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Figures/tables,Addressed,"Final synthesis tables and figures were created.","Added insertion plan and ready-to-copy tables.","docs/manuscript_tables_final.md; figures/final_synthesis","Final DOCX formatting still requires author review.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Terminology,Addressed,"Terminology was corrected throughout the draft.","Added explicit wording constraints.","docs/final_claim_audit.md","Avoid true legal maneuver count and full manual ground truth wording.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
Literature updates,Addressed,"The verified literature register was integrated into the related-work framing.","Added cited prior-art boundaries.","docs/literature_register_hg_smg.md","Final bibliography formatting remains an author action.","[Section X, Lines YY-ZZ to be filled after DOCX formatting]"
